Location,Name,Maker/Deployer,Users,Penetration,Target Penetration,Tech,Voluntary,Limited,Data destruction,Minimized,Transparent,Centralized or decentralized,Status,Notes,Additional Sources,Additional Sources
Gibraltar,Beat Covid Gibraltar,HM Government of Gibraltar and the Gibraltar Health Authority,9000,26.69%,TBD,Bluetooth,Y,Y,Y,Y,Y,Decentralized,Launched,Gibralter's app launched on June 18th and over 25% of the population has downloaded it.,https://www.chronicle.gi/contact-tracing-app-to-be-rolled-out-this-week/,
Hungary,VirusRadar,"Ministry of Innovation and Technology, NextSense",10000,0.10%,TBD,Bluetooth,Y,TBD,Y,Y,Y,Centralized,Launched,The voluntary app alerts people who came within 2m of an infected person for at least 20min.,https://dailynewshungary.com/covid-19-tracker-app-available-for-download-in-hungary/,
Iceland,Rakning C-19,Iceland‰Ûªs civil protection and emergency management team,140000,38.45%,TBD,Location,Y,Y,Y,Y,Y,Both?,Launched,Iceland decided not to use Bluetooth because it was too unreliable and instead uses location data,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,
India,Aarogya Setu,Indian national government,100000000,7.39%,TBD,"Bluetooth, Location",N,N,Y,N,Y,Centralized,Launched,India is the only democracy making its app mandatory for millions of people.,https://www.mygov.in/aarogya-setu-app/,
Indonesia,PeduliLindungi,Ministry of Communication and Information Technology (Kominfo) and the Ministry of SOEs,19000000,7.10%,TBD,"Bluetooth, Location",Y,N,N,N,N,Centralized,Launched,The Indonesian app uses individuals' location data to cross reference telecommunications provider data.,https://www.thejakartapost.com/academia/2020/06/22/covid-19-apps-fear-of-tyranny-by-data.html,https://kr-asia.com/indonesians-skeptical-of-the-states-covid-19-prevention-apps
Iran,AC19,"Network of academics, mostly from Sharif University of Technology",4000000,4.89%,TBD,Location,Y,TBD,TBD,N,N,TBD,Launched,Iran's original AC19 covid app was banned by Google Play for collecting more data than its rules allowed.,https://www.vice.com/en_us/article/epgkmz/iran-launched-an-app-that-claimed-to-diagnose-coronavirus-instead-it-collected-location-data-on-millions-of-people,https://www.zdnet.com/article/spying-concerns-raised-over-irans-official-covid-19-detection-app/
Ireland,Covid Tracker,HSE - Ireland's Health Services,NA,NA,25%,"Bluetooth, Google/Apple",Y,Y,Y,Y,Y,Decentralized,Launched,"Unlike neighboring UK, Ireland opted to use the Google/Apple API",https://www.irishtimes.com/business/technology/hse-covid-19-tracing-app-data-will-be-stored-on-individual-devices-1.4240304,https://www.bbc.com/news/technology-53525712
Israel,HaMagen,Health Ministry,2000000,22.51%,TBD,Location,N,Y,Y,Y,Y,Centralized,Launched,Officials said the app is not sufficiently accurate because it is based only on GPS and voluntary information.,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://medium.com/@oleiba/hamagen-fight-coronavirus-and-preserve-privacy-b1631693bb46
Italy,Immuni,Bending Spoons,2200000,3.64%,TBD,"Bluetooth, Google/Apple",Y,Y,Y,Y,Y,Decentralized,Launched,"After China, Italy was the first Western nation devastated by covid-19. They launched thier app in early June.",https://www.reuters.com/article/us-health-coronavirus-italy-technology/italy-tests-contact-tracing-app-to-speed-lockdown-exit-idUSKBN21Z0VJ,
Japan,COCOA,Department of Health,4000000,3.16%,TBD,Google/Apple,Y,TBD,Y,Y,Y,Decentralized,Launched,"Japan's app has riddled with issues since it launched, and has been suspended at least twice.",https://www.japantimes.co.jp/news/2020/07/11/national/japans-contact-tracing-app-glitch/,https://www.japantimes.co.jp/news/2020/06/27/national/science-health/japan-coronavirus-app-downloads/
Kuwait,Shlonik,Ministry of Health,TBD,TBD,TBD,Location,Y,TBD,N,N,N,Centralized,Launched,A recent Amnesty International report highlighted Kuwait's app as one of the most invasive in the world.,https://www.bbc.com/news/world-middle-east-53052395,https://www.theverge.com/2020/6/16/21293363/covid-19-contact-tracing-bahrain-kuwait-mass-surveillance-tools-privacy-invasion
Malaysia,MyTrace,"Ministry of Science, Technology and Innovation",100000,0.32%,60%,"Bluetooth, Google/Apple",Y,TBD,TBD,N,N,Decentralized,Launched,The Malaysian app is available only on Android. The government has promised to publish the open source code.,https://www.thestar.com.my/news/nation/2020/05/08/data-from-covid-19-app-mytrace-kept-on-phone-not-govt-servers-says-khairy,
Mexico,CovidRadar,Mexican Government,TBD,TBD,TBD,Bluetooth,Y,TBD,N,N,N,Centralized,Launched,The specific privacy and data policies for the Mexican app are currently quite thin and vague.,http://www.nl.gob.mx/noticias/lanza-gobierno-aplicacion-movil-para-notificar-casos-positivos-de-covid-19,
New Zealand,NZ COVID Tracer,Ministry of Health,588800,12.10%,TBD,"Bluetooth, QR codes",Y,Y,Y,N,Y,Centralized,Launched,New Zealand's app is based on a check-in system using QR codes in public areas.,https://www.aei.org/technology-and-innovation/a-tale-of-two-contact-tracing-apps-lessons-from-australia-and-new-zealand/,
Macedonia,StopKorona,NextSense,TBD,TBD,TBD,Bluetooth,Y,Y,Y,Y,Y,Decentralized,Launched,Android and iOS apps were launched in mid-April.,https://privacyinternational.org/examples/3690/north-macedonia-launches-bluetooth-based-contact-tracing-app,
Northern Ireland,StopCOVID NI,NI Ministry of Health,TBD,TBD,TBD,"Bluetooth, Google/Apple",Y,TBD,TBD,TBD,TBD,Decentralized,Launched,Northern Ireland has announced a deal with the same developer as Ireland's app.,https://www.businesspost.ie/coronavirus/north-appoints-same-sofware-firm-as-south-to-develop-its-contact-tracing-app-6cbe4bf4,
Norway,Smittestopp,Norwegian Institute of Public Health,1427000,26.58%,50%,"Bluetooth, Location",Y,Y,Y,N,N,Centralized,Launched,"On June 16th, Norway put a pause on the app and deleted all user data because security concerns and criticisms.",https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://www.amnesty.org/en/latest/news/2020/06/norway-covid19-contact-tracing-app-privacy-win/
Philippines,StaySafe,Multisys Technologies Corporation,1200000,1.12%,,Bluetooth,Y,TBD,TBD,N,N,Decentralized,Launched,The app launched in April and has serious privacy concerns which sparked a letter demanding better protections from major organizations.,https://www.staysafe.ph/,https://www.manilastandard.net/opinion/columns/about-town-by-ernesto-m-hilario/327882/staying-safe-amid-the-pandemic.html
Poland,ProteGO,Ministry of Digital Affairs,41665,0.11%,TBD,Bluetooth,Y,TBD,Y,Y,Y,Decentralized,Launched,ProteGO is modeled after effots in Singapore.,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,
Qatar,Ehteraz,Ministry of Public health,2531620,91.00%,TBD,"Bluetooth, Location",N,TBD,N,N,N,Centralized,Launched,The app is mandatory for all citizens and requires access to photos. It also had a major security breach upon launched.,https://m.gulf-times.com/story/663120/MoPH-Effective-contact-tracing-key-to-Covid-19-response,https://www.iloveqatar.net/coronavirus/guideTips/ehteraz-app-frequently-asked-questions
Saudi Arabia,Tawakkalna,Ministry of Health and the Saudi Data and Artificial Intelligence Authority,TBD,TBD,TBD,Location,TBD,TBD,TBD,N,N,TBD,Launched,"Tawakkalna app pairs with Tabaud, the contact tracing app, and allows citizens to request ""movement permits"" for mobility around the city.",https://english.alarabiya.net/en/coronavirus/2020/05/20/All-you-wanted-to-know-about-the-Saudi-tracking-app-Tawakkalna,
Saudi Arabia,Tabaud,Ministry of Health and the Saudi Data and Artificial Intelligence Authority,TBD,TBD,TBD,"Bluetooth, Google/Apple",Y,TBD,TBD,Y,N,Decentralized,Launched,Tabaud is the contact tracing app of many Saudi applications trying to contain covid-19.,https://english.alarabiya.net/en/coronavirus/2020/06/28/Saudi-Arabia-s-coronavirus-social-distancing-app-Tabaud-All-you-need-to-know,
Singapore,Trace Together,Government Technology Agency,2100000,37.24%,TBD,"Bluetooth, BlueTrace",Y,Y,Y,Y,Y,Centralized,Launched,TraceTogether was the first major Bluetooth contact tracing app.,https://docs.google.com/document/d/16Kh4_Q_tmyRh0-v452wiul9oQAiTRj8AdZ5vcOJum9Y/edit#,
Switzerland,SwissCovid,Swiss National Covid-19 Science Task Force,500000,5.83%,< 60%,"Bluetooth, DP-3T, Google/Apple",Y,Y,Y,Y,Y,Decentralized,Launched,"Initially, the Swiss opted to use DP-3T instead of the Google/Apple API. Now it looks they will be using both.",https://github.com/DP-3T/documents/blob/master/DP3T%20White%20Paper.pdf,https://www.swissinfo.ch/eng/digital-solution_contact-tracing-app-could-be-launched-in-switzerland-within-weeks/45706296
Thailand,MorChana,Digital Government Agency,355000,5.11%,TBD,"Bluetooth, Location",TBD,TBD,TBD,N,N,Decentralized,Launched,"Thailand paired the proximity contact tracing app with a QR code check-in system, called Thai Chana",https://www.bangkokpost.com/life/social-and-lifestyle/1938848/the-price-of-safety,https://www.bangkokpost.com/business/1954287/thai-covid-19-apps-judged-invasive
Tunisia,E7mi,Tunisia's Observatory of Emerging Diseases,23140,0.20%,TBD,Bluetooth,Y,Y,Y,TBD,TBD,Centralized,Launched,Tunisia's government says the app will remain voluntary so long as download rates are high.,https://www.bbc.com/news/world-middle-east-53052395,https://www.lawfareblog.com/what-ever-happened-digital-contact-tracing
Turkey,Hayat Eve S€±€Ùar,Turkish Ministry of Health,14186000,17.30%,TBD,"Bluetooth, Location",N,N,N,Y,N,Centralized,Launched,Turkey mandates people who test positive download the app and can then share data with police.,https://play.google.com/store/apps/details?id=tr.gov.saglik.hayatevesigar,https://www.cnnturk.com/video/turkiye/ak-partiden-koronavirus-anketi
United Arab Emirates,TraceCovid,Department of Health,TBD,TBD,TBD,Bluetooth,N,TBD,TBD,Y,N,Decentralized,Launched,"The app is mostly decentralized, but citizens can be fined for refusing install or register for the app.",https://www.thenational.ae/uae/health/coronavirus-what-can-i-still-be-fined-for-in-uae-1.1040480,
UK,NHS COVID-19 App*,NHSX,NA,NA,TBD,"Bluetooth, Google/Apple",TBD,TBD,TBD,TBD,TBD,Decentralized,In Dev,The UK has made headlines for its refusal to adopt the Google/Apple API. It now maybe considering a switch. It will launch in winter.,https://ec.europa.eu/health/sites/health/files/ehealth/docs/covid-19_apps_annex_en.pdf,https://www.bbc.com/news/technology-52353720
Vietnam,BlueZone,Ministry of Health,382160,0.40%,TBD,Bluetooth,Y,TBD,N,N,Y,Decentralized,Launched,Vietnam is using a decentralized system but requires access to contacts and other media on mobile devices like photos.,https://www.techinasia.com/intrusive-asean-contacttracing-apps,
